USVI,FGB,PR,DT,Temp,Salinity,CalcDensity,CRMTA,SampleDensity,TA1,TA2,MeanTA,TACorrection,TA1pH,TA2pH,MeanTApH,CO2,CorrectedCO2,Label
0,0,0,1,28.9,32.8,1.016197829,2238.04,1.021651259,2424.5,2423.3,2423.9,2376.917048,8.17,8.17,8.17,2072.58,2049.941371,1
0,0,0,1,29.9,32.6,1.017013239,2238.04,1.021530444,2421.4,2422.1,2421.75,2375.092959,8.161,8.161,8.161,2072.58,2064.640994,1
0,0,0,1,29,32.4,1.016413677,2238.04,1.021454385,2430.7,2429.6,2430.15,2383.493055,8.201,8.171,8.186,2072.58,2057.695448,1
0,0,0,1,27.6,33,1.015159873,2238.04,1.021832378,2438.9,2435.8,2437.35,2389.659149,8.17,8.155,8.1625,2072.58,2067.89131,1
0,0,0,1,27.9,33.2,1.015311732,2238.04,1.021953174,2440.2,2439.4,2439.8,2391.774576,8.186,8.174,8.18,2072.58,2064.14011,1
0,0,1,0,28.5,33.2,1.01575783,2221.75,1.021877342,2404.7,2404.6,2404.65,2353.253292,8.195,8.195,8.195,2033.98,2018.452228,1
0,0,1,0,29.3,33.6,1.016209029,2221.75,1.022179194,2425.9,2423.6,2424.75,2372.222267,8.214,8.209,8.2115,2033.98,2020.237249,1
0,0,1,0,28.1,33.4,1.015388893,2221.75,1.022013022,2416.1,2419.1,2417.6,2365.611963,8.223,8.22,8.2215,2033.98,2014.745755,1
0,0,1,0,28.6,33.3,1.015796416,2221.75,1.021922317,2407,2404.5,2405.75,2354.226133,8.214,8.218,8.216,2033.98,2004.517734,1
0,0,1,0,28.9,33.6,1.015911653,2221.75,1.022465243,2384.2,2385.3,2384.75,2343.736632,8.229,8.224,8.2265,2033.98,1999.70994,0
0,0,1,0,28.5,33.4,1.015686226,2221.75,1.022043478,2374.6,2374.3,2374.45,2334.62127,8.214,8.214,8.214,2033.98,1998.51558,0
0,0,1,0,28.4,33.6,1.015540021,2221.75,1.022194426,2387.8,2385,2386.4,2345.968733,8.206,8.194,8.2,2033.98,2016.791667,1
0,0,1,0,28.8,33.6,1.015837319,2221.75,1.022194426,2384,2383.6,2383.8,2343.425185,8.223,8.22,8.2215,2033.98,2005.716448,1
0,0,1,0,28.8,33.7,1.015801241,2221.75,1.022239411,2375.9,2379.4,2377.65,2337.306357,8.225,8.223,8.224,2033.98,1993.144927,0
0,0,1,0,28.3,33.5,1.015501664,2221.75,1.022103725,2388.6,2387.9,2388.25,2347.985894,8.214,8.207,8.2105,2033.98,2010.180511,1
0,0,1,0,28.7,33.7,1.01572692,2221.75,1.022269906,2377.7,2378.7,2378.2,2337.774992,8.225,8.214,8.2195,2033.98,1994.289721,0
0,0,1,0,29,33.6,1.015985992,2221.75,1.022194426,2388.4,2389.9,2389.15,2348.659023,8.226,8.223,8.2245,2033.98,2001.844245,1
0,0,1,0,29.1,33.7,1.016024225,2221.75,1.022239411,2348.5,2346.3,2347.4,2307.714464,8.158,8.15,8.154,2033.98,2003.471485,1
0,0,1,0,28.8,33.7,1.015801241,2221.75,1.022239411,2382.2,2380.9,2381.55,2341.121511,8.223,8.223,8.223,2033.98,1996.083967,1
0,0,1,0,28.6,33.6,1.015688662,2221.75,1.022194426,2403.4,2403.2,2403.3,2362.501791,8.22,8.216,8.218,2033.98,2027.695117,1
0,0,1,0,28.8,33.8,1.015765093,2221.75,1.02234539,2360.8,2362.9,2361.85,2321.610586,8.225,8.236,8.2305,2033.98,1980.971605,0
0,0,1,0,28.2,33.7,1.015355376,2221.75,1.022269906,2399,2401.4,2400.2,2351.321274,8.213,8.206,8.2095,2033.98,2020.921484,1
0,0,1,0,28.3,33.6,1.015465706,2221.75,1.022163943,2406.9,2407,2406.95,2358.168306,8.209,8.206,8.2075,2033.98,2024.880584,1
0,0,1,0,28.5,33.7,1.015578291,2221.75,1.022285124,2388,2385.7,2386.85,2338.227342,8.194,8.201,8.1975,2033.98,2022.297875,1
0,0,1,0,28.24,33,1.015635773,2221.75,1.021726442,2403.5,2404,2403.75,2356.044657,8.206,8.204,8.205,2033.98,2015.505223,1
